campo1;campo2;campo3;campo4;campo5;campo6;campo7;campo8;campo9;;;;;;
ADISW4.PTY1ae2;ADISW4.PTY1;ADI;SW4.PTY1;SW4.PTY1;ae2;ar4.pty1;ae6;1;;;;;;
ADIPSR1.PRC3Monterey1;ADIPSR1.PRC3;ADI;PSR1.PRC3;PSR1.PRC3;Monterey1;edge1.mry1;ae5;1;;;;;;
ADIsw2.xcr3Monterey1;ADIsw2.xcr3;ADI;sw2.xcr3;N/A;Monterey1;edge1.mry1;ae5;1;;;;;;
ADIsw1.esc1.sjoLima;ADIsw1.esc1.sjo;ADI;sw1.esc1.sjo;sw1.esc1.sjo;Lima;edge2.lim1;ae8;1;;;;;;
ADIpsr1.xgt2Lima;ADIpsr1.xgt2;ADI;psr1.xgt2;psr1.xgt2;Lima;edge2.lim1;ae8;1;;;;;;
ADIpsr1.win1.stdLima;ADIpsr1.win1.std;ADI;psr1.win1.std;psr1.win1.std;Lima;edge2.lim1;ae8;1;;;;;;
ADIpsr1.tri1.stdLima;ADIpsr1.tri1.std;ADI;psr1.tri1.std;PSR1.TRI1.STD;Lima;edge2.lim1;ae8;1;;;;;;
ADIpsr1.prc1Lima;ADIpsr1.prc1;ADI;psr1.prc1;psr1.pty1;Lima;edge2.lim1;ae8;1;;;;;;
ADIPSR1.PRC3Lima;ADIPSR1.PRC3;ADI;PSR1.PRC3;PSR1.PRC3;Lima;edge2.lim1;ae8;1;;;;;;
ADIsw2.xcr3Lima;ADIsw2.xcr3;ADI;sw2.xcr3;N/A;Lima;edge2.lim1;ae8;1;;;;;;
VPLSrsw1.ban1.smrGigabitEthernet1/0/2;VPLSrsw1.ban1.smr;VPLS;rsw1.ban1.smr;rsw1.ban1.smr;GigabitEthernet1/0/2;rpar1.ban1.smr;GigabitEthernet0/3;1;;;;;;
VPNrsw1.ban1.smrGigabitEthernet1/0/2;VPNrsw1.ban1.smr;VPN;rsw1.ban1.smr;rsw1.ban1.smr;GigabitEthernet1/0/2;rpar1.ban1.smr;GigabitEthernet0/3;1;;;;;;
ADIMESA2.CAG.VUPGigabitEthernet0/5;ADIMESA2.CAG.VUP;ADI;MESA2.CAG.VUP;mesa1.cxv.bog;GigabitEthernet0/5;PSR2.CXV1.BOG;xe-0/0/1;1;;;;;;
VPLSMESA2.CAG.VUPGigabitEthernet0/5;VPLSMESA2.CAG.VUP;VPLS;MESA2.CAG.VUP;mesa1.cxv.bog;GigabitEthernet0/5;PSR2.CXV1.BOG;xe-0/0/1;1;;;;;;
VPNMESA2.CAG.VUPGigabitEthernet0/5;VPNMESA2.CAG.VUP;VPN;MESA2.CAG.VUP;mesa1.cxv.bog;GigabitEthernet0/5;PSR2.CXV1.BOG;xe-0/0/1;1;;;;;;
ADImesa1.baq.baqGigabitEthernet0/11;ADImesa1.baq.baq;ADI;mesa1.baq.baq;MESA1.BAQ.BAQ;GigabitEthernet0/11;psr1.brq1;ae3;1;;;;;;
VPLSmesc20.baq.baqGigabitEthernet0/11;VPLSmesc20.baq.baq;VPLS;mesc20.baq.baq;MESA1.BAQ.BAQ;GigabitEthernet0/11;psr1.brq1;ae3;1;;;;;;
VPNmesc20.baq.baqGigabitEthernet0/11;VPNmesc20.baq.baq;VPN;mesc20.baq.baq;MESA1.BAQ.BAQ;GigabitEthernet0/11;psr1.brq1;ae3;1;;;;;;
VPLSmesa1.baq.baqGigabitEthernet0/11;VPLSmesa1.baq.baq;VPLS;mesa1.baq.baq;MESA1.BAQ.BAQ;GigabitEthernet0/11;psr1.brq1;ae3;1;;;;;;
VPNmesa1.baq.baqGigabitEthernet0/11;VPNmesa1.baq.baq;VPN;mesa1.baq.baq;MESA1.BAQ.BAQ;GigabitEthernet0/11;psr1.brq1;ae3;1;;;;;;
ADIlhs1.ver1Gi0/14;ADIlhs1.ver1;ADI;lhs1.ver1;lhs1.mex1;Gi0/14;ar3.mex1;lag-6;1;;;;;;
ADIMESC1.ISA1.CCSGi0/1;ADIMESC1.ISA1.CCS;ADI;MESC1.ISA1.CCS;MESB1.CBN1.CCS;Gi0/1;par1.cbn1.ccs;GigabitEthernet0/3;1;;;;;;
Satelitalpsr1.ltp1.limge-7/0/8;Satelitalpsr1.ltp1.lim;Satelital;psr1.ltp1.lim;psr1.ltp1.lim;ge-7/0/8;psr1.ltp1.lim;ge-7/0/8;1;;;;;;
VPNPSR1.TRI1.STDge-1/1/9;VPNPSR1.TRI1.STD;VPN;PSR1.TRI1.STD;PSR1.TRI1.STD;ge-1/1/9;PSR1.TRI1.STD;ge-1/1/9;1;;;;;;
VPLSPSR1.TRI1.STDge-1/1/9;VPLSPSR1.TRI1.STD;VPLS;PSR1.TRI1.STD;PSR1.TRI1.STD;ge-1/1/9;PSR1.TRI1.STD;ge-1/1/9;1;;;;;;
